main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
ALL,ALL,120,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,9500,9500,5
ALL,ALL,121,[베베숲]아기물티슈 프리미어 휴대 캡 20매 12팩,10000,10000,13
ALL,ALL,122,[투투삭스]안벗겨지는 페이크삭스/덧신/패션양말/스니커즈/학생,6900,6900,70
ALL,ALL,123,[제주삼다수]제주삼다수 2L 12병 /생수전문배송,11900,11900,33
ALL,ALL,124,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),16900,16900,37
ALL,ALL,125,[베이비베이비]베이비베이비 아기물티슈 트윙클120매 20팩 캡형,14900,14900,66
ALL,ALL,126,[제주삼다수]제주삼다수 500ml 40병 /생수전문배송,17000,17000,35
ALL,ALL,127,[네스카페]수프리모 오리지널 300T,24900,24900,13
ALL,ALL,128,[락토핏]락토핏 5X 생유산균 골드 50포 3통(150일분),42900,42900,0
ALL,ALL,129,[정직한패드]20g X 400매 정직한 애견패드 강아지패드 배변패드,26370,26370,1
ALL,ALL,130,[동원참치]라이트스탠다드 85g x 15캔 +랜덤증정,18100,18100,30
ALL,ALL,131,[벨라홈]스크래치 통3중 인덕션 넌스틱 스텐 궁중팬 28cm 튀김,19900,19900,50
ALL,ALL,132,[바닐라코]바닐라코 단한번도 없었던 역대급혜택 1+1+1,22000,22000,50
ALL,ALL,133,[푸마]3차앵콜행사 푸마 남녀 반팔티셔츠/쿨링 냉감 티셔츠,12900,12900,70
ALL,ALL,134,[겔업]겔업 고농축 액체세제 2.5L x 4개 세탁세제 총10000ml,7900,7900,66
ALL,ALL,135,[시크릿데이]시크릿데이 최종 9000원 러브(중형5팩+일라2팩)/생리대,10000,10000,50
ALL,ALL,136,[모이스]1+1+1)목걸이 선풍기 넥밴드 휴대용 미니 탁상용 무선,19900,19900,0
ALL,ALL,137,[크록스]crocs크록스바야밴드샌들슬리퍼비치슈즈크록밴드10종,26900,26900,0
ALL,ALL,138,[스카트]THE보송올인원 습기제거제 1Px30개(한박스)/ 제습제,22100,22100,58
ALL,ALL,139,[오아로]웰빙채소 파프리카 4.8kg(32-40과),23900,23900,7
ALL,ALL,140,[에뛰드]찐 리얼 전품목 50% 특가,25000,25000,50
ALL,ALL,141,[스타벅스]컵커피 카페라떼  200mlX10컵X오거나이저백+아이스포장,23900,23900,50
ALL,ALL,142,[휴비딕]HET-1000 귀체온계  체온측정 체온계g,29260,29260,20
ALL,ALL,143,1+1 메르시앤코 BEST 디퓨저 모음전,19900,19900,50
ALL,ALL,144,[다우니]다우니 엑스퍼트 실내 건조 1L 6개 +사은품,31840,31840,20
ALL,ALL,145,[바다원]진미채 1kg 국내가공 오징어채,16000,16000,45
ALL,ALL,146,[신일전자]신일 14인치 스탠드형 선풍기 SIF-NH1416,56840,56840,2
ALL,ALL,147,[삼성전자]갤럭시 핏2 SM-R220 스마트밴드,49500,49500,0
ALL,ALL,148,[한일전기]가정용 사무실 스탠드형 선풍기 한일전기 EFe-432,44140,44140,1
ALL,ALL,149,엠시피 타투 삼각 아이브로우 1+1 한정특가,8900,8900,69
ALL,ALL,150,[오뚜기]오즈키친 핫크리스피치킨+크리스피치킨 각1봉 (총 2봉),16900,16900,32
ALL,ALL,151,[한촌] 한촌 특 소한마리탕 700g X 10팩,65300,65300,7
ALL,ALL,152,[머렐](대구신세계)머렐 파파고 구스 다운 초경량 자켓 5219JD448 5219JD449,43070,43070,27
ALL,ALL,153,[이지바이](15%쿠폰)추리닝/반팔티/냉감티/밴딩바지/등산바지,7900,7900,69
ALL,ALL,154,[인디안]인디안 시원한 여름 젠틀수트 정장/셔츠/팬츠外,22500,22500,70
ALL,ALL,155,[햇반]CJ 햇반 210g 36개 1박스,34900,34900,0
ALL,ALL,156,자녀교육서 육아서 모음전,13800,13800,0
ALL,ALL,157,정식품 심천수 샘물 2LX24개 신제품 생수 행사,10900,10900,50
ALL,ALL,158,[프렌치카페]프렌치카페 로스터리 컵커피 4종250ml 10+10 골라담기,16900,16900,29
